미친맛집: 미식가 친구의 맛집 11화 소년 마츠시게 소울푸드
Subtitle	Human Translation
蜂楽饅頭(まんじゅう) １つ目のソウルフード 饅頭	- [시경] 아 - [마츠시게] 호라쿠 만주
うどん ２つ目のソウルフード うどん ２つ目のソウルフード うどん ソウルフードなんですよ ２つ目のソウルフード うどん	우동, 소울 푸드예요
グルメな友達のグルメ店 「隣の国のグルメイト」	- [경쾌한 음악] - [시경/한국어]
ミッチョッタ(やばい) ミッチョッタ	[마츠시게] 미쳤다, 미쳤다
ああ 西新だ ああ 西新だ 西の新都市 西の新都市	[시경] 아, 니시진이구나
ああ 全然 違うんですよ だから⸺	- [시경] 아, 사투리요 - 완전 다르거든, 그러니까…
ソウルと釜山(プサン)よりも たぶん違うと思うんで	서울하고 부산… - [시경] 보다? 네, 네 - 그것보다도 아마 다를 거야
でも今 こっちの人もね そんなにね 若い子は あんまり	근데 요즘 여기 젊은 애들은 그렇게 사투리를…
あっ 使わないんだ なまりを使わないの 俺 もう⸺	- [시경] 안 쓰는구나 - 잘 안 쓰거든
あの 松重さんって 上京 何歳だったんですか？ 東京に行ったのは	- [시경] - [마츠시게의 호응]
３浪？ はい	- [익살스러운 효과음] - [시경] 네
頑張ったね はい	- [마츠시게] - [시경] 네
“青春18きっぷ”って いうのがあって	- [마츠시게] - [시경] 네
うん	- [마츠시게] 그렇지 - [호응]
ちょっとさ いいにおい するでしょ？ ほら	- [마츠시게] - [흥미로운 효과음]
その場で作った なんか⸺	[시경] 네, 튀김?
魚の すり身を 油で揚げて ちぎり天	[시경] 네
そうそう おやつみたい にして こうやって もう ここプラプラ 歩きながら	- [산뜻한 음악] - [시경의 호응]
あったんだけど	[시경] 아
ちぎり天	- [점원1] 네? - [마츠시게] 치기리텐
やってない やってない	- [점원2] - [점원1] 치기리텐…
ねえ	- [점원2의 웃음] - [마츠시게] 그렇죠?
ああ そうですか	- [점원1] - [마츠시게] 네
そうですね うん	- [시경] - [마츠시게의 호응]
あの 近所の 八百屋さんとか あの そういう人たちが リヤカーで	- [산뜻한 음악] - [시경] 네
うーん ２軒	[행인1] 음, 두 군데…
あっ もう おらんとですか １ヵ所だけ	- 그래요? 이제 없나요? 왜? - [행인1] 응, 응
だけ お花屋さんが まだ 出てらっしゃいました	[행인1] 응, 꽃집이 있지
ざーっと おったでしょうが	- [마츠시게] - [행인1] 젊었을 때?
若い頃 若い頃 うん	[행인1] 그렇지?
西南 行きよった頃 うん	- 생기 넘쳤던 시절에 - [행인들의 웃음]
どうも ありがとうございました	- [마츠시게, 시경] - [행인3] 잘 가요
寂しいっすね	- [시경] - [마츠시게] 응
蜂楽饅頭	[시경] 아
ああ 饅頭？	아, 만주
さっきの大通りを 向こう行った所にあって	[시경] 네
で １００円もない時は ここで⸺	[마츠시게] 그치
当時 50円ぐらい だったかな その… うん	- [시경] 500원 - [마츠시게] 어
50年前？	- [시경] - 응
ちぎり天⸺	[점원] 네
そこですかね？ そこは もうないですね	- [점원] - [마츠시게] 응
白あんと黒あんですね	- [점원] - [산뜻한 음악]
２個ずつ はい	- [점원] 두 개씩요 - 네
白あんと黒あんです	[시경] 그리고…
ありがとうございます	- [마츠시게] - [점원] 네
４４０円です はい	- [점원] - [마츠시게] 네
じゃあ…	[시경] 그럼…
ええ やっぱ黒かな	[마츠시게] 어… 역시 검은색부터지
定番から	[시경] 기본이죠
うん	음
うん	[마츠시게] 음
どうですか？	- [마츠시게] - [탄성]
おいしいね	[시경] 응
で あんこが これだけ みっちり入ってて うん	- [마츠시게] - [호응]
溶けちゃうでしょ	[마츠시게] 응
こっちは もうちょっと もちもちする感じ	- [마츠시게] 그래서… - [시경]
ああ ああ	[마츠시게] 아아!
そこが違うね ああ うまい	- 야, 맛있다 - [마츠시게의 호응]
これは絶品だ	[시경/한국어] 음, 아, 너무 좋다
うん	- [시경의 호응] - [반짝이는 효과음]
整形なんか しないでください	- [시경] - [제작진의 웃음]
ああ 結構 量 ありますよね 量ある	- [시경] - [마츠시게] 많아
これ だから結構 食い応えがあるんですよ	- [부드러운 음악] - [시경, 마츠시게] 응
うどん屋 行っちゃおうか	- [마츠시게] - [시경의 호응]
ああ もう11時からに なってんだね	"이나바우동"
お邪魔します どうも	- 안녕하세요 - [시경] 실례하겠습니다
