미친맛집: 미식가 친구의 맛집 12화 칼국수는 거들 뿐
Subtitle	Human Translation
うん	[마츠시게] 음
ミッチョッタ(やばい) ミッチョッタ	[마츠시게] 미쳤다, 미쳤다
ここは江南の…	[마츠시게] 응
会社って いくらでもあるんで	[마츠시게] 응
へえ	[마츠시게] 그래?
“ハンソンカルグクス”	- [마츠시게] - [시경/일본어] 네
おいしく食べてください	- [마츠시게의 탄성] - [시경]
ハンソンカルグクス はい	- [마츠시게] - [시경] 네
へえ	[마츠시게] 그래?
アンニョンハセヨ	- [시경의 웃음] - [마츠시게]
どうも	[마츠시게/일본어] 안녕하세요
食べてるね	[시경] 네
“模範飲食店” でも こんだけ お客さんがね でも こんだけ お客さんがね	[마츠시게] 근데 이 정도로 손님이 많네
あらっ	그래?
親子３世代で来るんだ	[시경] 네
へえ	그래?
“チヂミ盛り合わせ” “皿盛り蒸し餃子(マンドゥ)” “チヂミ盛り合わせ” “皿盛り蒸し餃子(マンドゥ)” いろんなメニューが ありまして “チヂミ盛り合わせ” “皿盛り蒸し餃子(マンドゥ)” “チヂミ盛り合わせ” “皿盛り蒸し餃子(マンドゥ)” はい	- [시경] - [마츠시게] 응
“カルグクス” ああ １万１０００ウォン “カルグクス” “カルグクス” はい	- [마츠시게] - [시경] 네
それで３５０円	[시경] 그것도 꽤 맛있죠
うん あの⸺	[마츠시게] 응, 저…
魚系 海藻系 あと野菜系	[시경] 그렇죠
ここは牛肉 ブリスケの だしですよ	- [시경] - [마츠시게의 호응]
ちゃんとしてるんだ	[시경] 네
ちゃんと 今日 格好も なんか⸺	[마츠시게] 오늘 우리도 뭔가 제대로…
いつもと違う	평소와 다르잖아
ちゃんとしてるだけ じゃない？	[시경] 정말요?
あの…	[시경] 그게…
スーツは かっこいいんですよ 背広っていうのは	- [마츠시게] - [시경의 호응]
だって毎日 その ジムに行って⸺	[시경] 그럼 유튜브에서?
自分の体の こういうの 見てんでしょ？	- [익살스러운 효과음] - [제작진의 웃음]
鏡 見ないの？ はい	- [마츠시게] - 네
こうやって見て こうしてるんじゃ？ 何でしょう それは	- 이렇게, 이렇게 하면서 - [제작진의 웃음]
アンニョンハセヨ アンニョンハセヨ	[마츠시게] 안녕하세요
お久しぶりです	[시경] 네, 네
いいえ ようこそ	[사장님] 아, 아니에요
注文リスト じゃあ 牛ゆで肉(スユク)の小と 豚肉(チェユク)の小	[한국어] 저희
スユク（小） チェユク（小） じゃあ 牛ゆで肉(スユク)の小と 豚肉(チェユク)の小	- 수육 소짜, 제육 소짜 - [사장님] 네
ナクチポックム タコの辛味炒め(ナクチポックム)に	낙지볶음에 모둠 전 소짜
チヂミ盛り合わせ（小） チヂミ盛り合わせで	낙지볶음에 모둠 전 소짜 - [시경] 이렇게 먹을까요? - [사장님] 네
カルグクスは？ はい	- [시경] 이렇게 먹을까요? - [사장님] 네
いや ここ 面白いのは うん	- [시경] - [마츠시게의 호응]
へえ	진짜?
うん	[마츠시게] 응
うん	음…
スユクです	[사장님/한국어] 수육입니다
うわあ これが最高級なんですよ	- [시경의 탄성] - [일본어]
こっち 牛肉なんだ ゆで牛？	- [마츠시게] - [시경] 네, 네
はい これが豚	- [마츠시게] - [시경] 네, 네 - [시경] - [마츠시게] 돼지고기
豚？	- [시경] - [마츠시게] 돼지고기
これ ポッサム？ とは違う？ うーん こういうものは ただ⸺	- [마츠시게/일본어] - [시경] 음…
チェユク？ うん ポッサムは ポッサムキムチがないと	- [마츠시게] 제육? - [시경] 네
ポッサムキムチは またちょっと違う味	- [시경] - 뭐?
知らないことが 多すぎるなあ	[시경] 그게…
これは このまま	[마츠시게] 응
最初は ここにつけて	- [시경] - [마츠시게] 갑니다
ああ	[마츠시게] 아
うん	음
うん	음
結構 塩分きついね うん	- [마츠시게] - [시경] 네
でも うまみが いっぱい入ってる	[마츠시게] 응
うん うん	- 음 - [시경] 음
はい	[시경] 네
うん	음
うん うん	[마츠시게, 시경] 음
ですよね うん	- [시경] - 응
生にんにくが うん	- [시경] - [마츠시게] 응
こうやって まとめて	[마츠시게] 응
自分が食べます	- [시경] - [마츠시게] 응, 응
“あー”	아~
うん	음
うん	음
ヤンジという 一番 高級な部位で	- [시경] - [마츠시게의 호응]
そうか	- [시경의 웃음] - 그래
あっ	[마츠시게] 어라?
はい	- [시경] 네 - [사장님] 전이에요
エビのチヂミ ズッキーニのチヂミ エビと ズッキーニと エビと ズッキーニと エビと ズッキーニと タラのチヂミ カキのチヂミ タラのチヂミ カキのチヂミ	- 새우랑 애호박이랑 생선 - [마츠시게] 응, 응
