미친맛집: 미식가 친구의 맛집 2화 일본에서 가장 비싼 치즈케이크
Subtitle	Human Translation
グルメな友達のグルメ店 「隣の国のグルメイト」	- [경쾌한 음악] - [시경]
ミッチョッタ(やばい) ミッチョッタ	[마츠시게] 미쳤다, 미쳤다
鎌倉っていって… 鎌倉高校前駅	- [시경] 네 - [밝은 음악]
鎌倉 初めて来ました	[마츠시게] 처음이군요
昔は あの… 文豪 要するに小説家とか	[시경] 네
そういう文化人が非常に 多く暮らしてた⸺	[시경] 네 [시경] 네
すごいでしょ この辺の景色とかもさ	그러네요
そう	[시경] 그렇군요
すてきだな ハウス オブ フレーバーズ ハウス オブ フレーバーズ	- [밝은 음악] - [시경/한국어] 야, 진짜 좋다
ここだけ秋だ ハウス オブ フレーバーズ	여기만 가을이야
いらっしゃいませ	- [점원/일본어] - [마츠시게의 감탄]
スノーボール	[시경] 스노우볼
これは チョコレートケーキ？	이건 초콜릿케이크
さようでございます	[점원] 그렇습니다
これが うわさのチーズケーキ	- [시경] - [마츠시게] 유명한 케이크 [점원] 네
ちょっと値段 間違えてませんよね？	- [점원의 웃음] - [강조되는 효과음]
大きいサイズが １万６０００円	[점원] 큰 사이즈가 16,000엔
小さいサイズが ７０００円	작은 사이즈가 7,000엔
ホールの お取り扱いに なっております	홀 케이크 기준입니다
いくらかな マンゴーかき氷 約10万ウォン	- [시경/한국어] 얼마지? - [제작진] 8만 원
マンゴーかき氷 約10万ウォン それも ８０００円ぐらい？	[시경/일본어] 그것도 8,000엔 정도?
ありがとうございます	[점원] 감사합니다
そうですね	[마츠시게] 그러네요
こちらへ はい じゃあ…	- [마츠시게] 어디 앉을래요? - [시경] 여기 앉으세요
ここ１～２年で お邪魔して 女房と２人で	- [점원] - [마츠시게] 아내와 둘이 왔죠
でしょ？ だから そのチーズケーキは	- [마츠시게/웃으며] - [시경] 네
ですよね	[시경] 그렇죠?
セットと させていただきます お願いします	네, 부탁합니다
チーズケーキに 合うようにということで	[점원] 네
すごく充実してるじゃ ないですか	[시경] 어디든요
強いですね うん	진심이죠
ホドゥクァジャですよね	- [웃으며] 호두과자요 - [제작진의 탄성과 웃음]
そうですよね うん	그렇죠
来た	- [마츠시게] - [시경] 네
すみません	- [점원] 실례합니다 - [시경] 네
これが？ はい チーズケーキは⸺	- [시경] 이건가요? - [점원] 네
違います 貴腐ワインでございます	- [점원] - [사람들의 웃음]
“貴腐ワイン” 検索中	[시경] '귀부 와인'
甘くしたワインという “貴い腐敗”という意味 カビが生えた実を使用	[점원] 달게 만든 와인입니다
上のほうは 白いほうが サワークリーム	[점원] 네 위쪽의 흰 게 사워크림이고
真ん中がクリームチーズ 下が⸺	가운데가 크림치즈
グラハムクラッカーに なっておりまして	- 밑이 그레이엄 크래커입니다 - [마츠시게] 그레이엄 크래커?
グラハムクラッカー？	[점원] 네
すみません	[시경/웃으며] 죄송합니다
好きにすれば いいんじゃないの？	네, 죄송합니다
なんか こう… シャリシャリの	- [시경] - 바삭바삭하죠
チーズの酸味と まろやかさの中に⸺	[시경] 맞아요
へえ	- [마츠시게의 호응] - [시경] 음
爽やか	오
ずっと 仕事のことばかり…	- [마츠시게] - [제작진들의 웃음]
そう？ 本当？	[마츠시게] 정말요?
早死にすると 言われるとは	- [한국어] - [제작진들의 웃음]
そりゃ泣くことじゃない	- [마츠시게] - [시경의 흐느낌]
それはもう でも本当に あの…	[마츠시게] 그런데 정말…
結婚指輪を ここで	- 네 - [마츠시게]
出た はい	- [마츠시게] - [시경] 네
名前 出たでしょ？ はい	- [마츠시게] - [시경] 네
入りましょう	[시경] 들어가 보시죠
“おいしい(マッ)チゲ”みたい	- [제작진] 맛찌개? - [제작진들의 웃음]
はい	[점원] 네
スペアリブと	- [시경] - [점원] 네
蒸し鶏 はい お願いします	[점원] 찜닭이요
頑張って作りますんで ありがとうございます すみません はい	[점원] 감사합니다 실례하겠습니다
蒸し鶏のネギ醤油 １９８０円 まっちげ兄さん	[시경/한국어] 아, 맛찌개 형님
味が気になる	[시경] 너무 궁금하다
においを嗅ぐ	아
いらっしゃいませ	[점원1/일본어] 어서 오세요!
いらっしゃいませ	[점원2] 어서 오세요!
いらっしゃいませ	[점원들] 어서 오세요!
まっちげさん ありがとう	[한국어] 맛찌개 상, 감사합니다
白いご飯の上にのせて 食べるべき ご飯のおかずにぴったり ご飯のおかずにぴったり	그렇게 먹어야 되는…
手袋をして 食べてください はい	- [점원] - [시경] 네
はい ありがとうございます 毛沢東スペアリブ １５８０円	[점원] 감사합니다
毛沢東スペアリブ １５８０円 まっちげ兄さん	[시경/한국어] 아, 맛찌개 형님
なんか細くてちっちゃい じゃないですか	[시경] 네
ちょっとジャンボ スペアリブですね	- [시경의 호응] - [점원]
同じトマホークという 部位だ	[제작진] 아~
これは…	[시경] 어
分かるでしょ？	뭔지 알지? 약간…
“俺は一匹オオカミだ” みたいな	[제작진] 아, 하하
まっちげ兄さんに お礼を言いたい	[시경] 자
ミッチョッタ ミッチョッタ	[마츠시게/한국어] 미쳤다, 미쳤다
