미친맛집: 미식가 친구의 맛집 5화 해질녘 후지산과 환상적인 푸딩
Subtitle	Human Translation
グルメな友達のグルメ店 「隣の国のグルメイト」	- [경쾌한 음악] - [시경]
ミッチョッタ(やばい) ミッチョッタ	[마츠시게] 미쳤다, 미쳤다
見えなさそう	[마츠시게] 응
どうも はい	[마츠시게] 네
じゃあ 行きましょうか	- [시경] 들어가세요 - [마츠시게]
あっ ほら すごい	- [마츠시게] - [점원] 어서 오세요
デートみたいな もんですよ ねえ	그렇죠?
してきたんじゃ ないですか 今日	[시경] 배경 음악도요
正装して	정장 입고요, 정장 입고…
入った瞬間	- [시경] - [제작진의 웃음]
デートコースじゃ ないですか ここ まっちげのデザート巡り	[시경] 여기 데이트 코스네요
まっちげのデザート巡り チーズケーキが おいしいんですよ	[마츠시게] 치즈케이크가 맛있어요
ここね	- [마츠시게] - [시경] 네
秋谷？	[시경] 아키야
そこ 昔よく 釣りに来てたんですよ	- [마츠시게] - [시경의 호응]
おっきい富士山 見えるでしょ？	[마츠시게] 네?
いや 見えそうで 見えなさそうで…	[시경] 아뇨 보일 듯 안 보일 듯해요
はい	네
僕の恋愛関係ですよ これからの僕の恋愛関係	[마츠시게] 맑을 거예요
ええ	[마츠시게] 네
非常においしい	[마츠시게] 네
転換が速い	[마츠시게] 그리고
プリン店に カニのパスタ？ カニみそパスタ？	게 내장 파스타?
身が こうソースの中に	[시경] 그렇죠?
わあ この時間 やってない	와…
プリン	[시경] 푸딩 시간?
デザート天国	- [시경] 네 - [마츠시게] 무슨…
ああ はい	[시경] 아, 네
こんにちは また ご来店いただいて	[마츠시게] 안녕하세요 항상 감사해요
ありがとうございます	[마츠시게] 감사합니다
カスタードプリンを 食べられるか カスタードプリンを 食べられるか 推薦１ 推薦１	[점원] 커스터드푸딩을 먹거나
北海道 フレッシュクリーム 北海道 フレッシュクリーム 推薦２ 推薦２ 推薦２ どちらかを食べる方が 多いです	홋카이도 프레시 크림 푸딩을 먹는 분이 많아요
こちらの デザートのメニュー	[점원] 그리고 이쪽 디저트 메뉴에는
プリン２種類の 盛り合わせか プリンとケーキの 盛り合わせと なっておりますので	[점원] 푸딩 2종 모둠이나 푸딩과 케이크 모둠입니다
定番 定番っていうのも	- 정석 - [시경] 네
“カスタード” “北海道フレッシュ”	- [마츠시게] - 커스터드푸딩이니까요
北海道フレッシュ クリームプリン	[시경] 홋카이도 프레시 크림 푸딩
これじゃなくて？	[마츠시게] 이거 말고?
“お任せプリン２種 盛り合わせ” とかじゃなくて？	오마카세 푸딩 2종 모둠 같은 거 말고?
どうされます？	- [시경] 아니… - [마츠시게] 오마카세로?
本当？	[시경] 네
いやいや 面白くなるなら	[시경] 그…
考えは ちょっと… はい	[마츠시게] 아니, 그래도… [시경] 네
お任せ２種にします	[점원] 네
かっこいい	- [시경] - [제작진의 웃음]
僕は じゃあ 普通のプリンで	[마츠시게] 그럼… - 그럼 저는 그냥 푸딩이요 - [마츠시게]
はい	- 그럼 저는 그냥 푸딩이요 - [마츠시게]
僕は じゃあ⸺ ホットコーヒーで	- [마츠시게] - [점원] 네
僕もコーヒーで かしこまりました	- [시경] - [점원] 알겠습니다
はい よろしくお願いします	- [마츠시게] 네, 잘 부탁드립니다 - [시경]
うん	응
映画のためですか	[마츠시게] 응
プレッシャーが あったんだと感じました	[마츠시게] 있었어요
60万… ああ ちくしょう	[시경] 60만 좀 넘나?
いや 最近というか…	[마츠시게] 응
ちょっと顔が知られてる 人間の人生って	- [시경] - [마츠시게] 응
僕 22歳⸺	[시경] 저 22살
顔が知られて25年	[시경] 네
ああ 早い	- [시경] 빠르다 - [마츠시게] 그 전부터…
一緒に住み始めたから 同棲(どうせい)して	그렇군요
ああ そうですね	[시경] 아, 그렇군요
もうちょっと やってから	- 그럼 좀… - [시경] 네
