미친맛집: 미식가 친구의 맛집 6화 40년 단골 맛집, 노포 중식당
Subtitle	Human Translation
ミッチョッタ(やばい) ミッチョッタ	[마츠시게] 미쳤다, 미쳤다 "민테이"
１５０席ぐらいの所で やるんですよ	[시경] 150석 규모
で こっちはね はい	- [마츠시게] - [시경] 네
ああ 芸術的な？	[시경] 아!
もっとね 下北って町は ごちゃごちゃしてて	[시경] 네
今 地下に なっちゃったんだけど	- [마츠시게] - [시경의 탄성]
そこに よく出前 持ってってたし	- [시경] 네 - [마츠시게]
この町の これから行く⸺	- [시경의 탄성] - [마츠시게] 이 거리의
へえ	"경시청 기타자와 경찰서 시모키타자와 파출소"
ラーメン屋で オーダーミスとかで	[마츠시게] 라멘 가게에서
ああ そういうことか	- [마츠시게] 그랬었지, 응 - [시경]
うん	[마츠시게] 응
すごいね	[시경/한국어] 이야 진짜 대박이다
お邪魔します ほんとに お邪魔します	- [마츠시게] 실례합니다, 정말 - [시경]
よいしょ いやあ いいですね	- [마츠시게] 아이고 - [시경]
ええ もうね 40年 変わらない場所です	- [마츠시게] - [시경] 이야
はい へえ	- [시경] - [마츠시게의 호응]
この建物も 木で造られた日本…	[마츠시게] 이…
伝統的な あれでしょ？	[마츠시게] 응
だからまず ここに	- [시경의 호응] - [마츠시게]
で 途中で何か食べて	- [시경의 호응] - [마츠시게]
へえ それ いいですね 適当にちゃっと 炒めたりもできるし	- [호응] 그거 좋네요 - [마츠시게]
ここら辺が そういう 人たちの集まりの…	- [시경] - [마츠시게] 맞아, 맞아
ええとねえ たぶん ６００円だったと思う	[마츠시게] 그게…
５時間 働いて ３０００円	- [시경] 몇 시간… - [마츠시게]
それで もう 日給だったから	- [편안한 음악] - [마츠시게]
その時のマスターは 今…	[마츠시게] 그쯤…
今 亡くなった うん	[마츠시게] 응
お父さんがマスター ご主人で	[시경] 네
今は そうです 私の主人が	- [사장] - [마츠시게] 응
高３ぐらいです	[사장] 고3 정도요
俺は変わんない 変わんないよね？ そんなに	[시경] 마츠시게 씨는?
声が でかい	[시경] 사투리는?
ですけど まあ例えば テレビとかで出て	[마츠시게] 미리…
それでいて ここが 何にも変わってないから	[사장] 그랬죠
へえ じゃあ 食べてみないと	[마츠시게] 네
赤いチャーハンで 有名なんですけど	[시경] 어떤…
はい チャーハンも	[마츠시게] 응
町中華は チャーハンでしょう？ あの… 焼餃子は？	[마츠시게] 응, 그리고…
おばあちゃんが いたんですけども	네
一応だから ラーメンと…	[시경] 그럼…
とチャーハンを	- [시경] 네 - [마츠시게] 주세요
はい 分かりました	[사장] 네
そして飲み物は？	- [마츠시게] 좋았어 - [시경]
うん	[마츠시게] 응
そうそうそう	그래요
すごいお金が かかったから	[시경] 네
んでね	- [시경] 그렇군요 - 그래서
うん まあ でもまあ この世界に何か こう	- [시경의 호응] - [차분한 음악]
舞台をやる 役者っていうのになって	- [시경] 아, 그렇구나 - [마츠시게]
もう映画監督は やめますって言ってから	이제…
夢が かなった	[마츠시게] 정말…
いやあ うれしい まあ でも⸺	- [시경] - [마츠시게] 뭐, 그래도
この…	[마츠시게] 이거… 아
へえ いいですね	- [시경] - [차분하고 밝은 음악]
40年越しの夢 マツシゲ！ マツシゲ！	[팬] 마츠시게!
じゃあ また はい 改めて	- [마츠시게] - [시경] 네
乾杯(チャン)	- [마츠시게] 그… - [시경/한국어]
はい	[시경/일본어] 네
チャン	[시경/한국어] 짠
はい 食べさしてください	- [사장의 웃음] - [마츠시게의 호응]
ぜひ食べてみてください	[시경] 네
これが まっちげさんが 作れる⸺	- [사장] 군만두입니다 - [시경]
レシピを 全部 知っている⸺	- [마츠시게] 만들 수 있는 - [시경]
何十年の歴史の…	- [마츠시게] 응 - [시경]
そうです 40年前と何も変わらない	[마츠시게] 그렇죠
ああ ありがとうございます	- [마츠시게] - [시경] 네
どうぞ	[마츠시게] 드세요
いや まあ ギリギリだったんです	- 아뇨 - [제작진의 웃음] [마츠시게] 아, 그래?
