미친맛집: 미식가 친구의 맛집 7화 30년 노포의 품격, 부일숯불갈비
Subtitle	Human Translation
ぜひ先に 召し上がってください	[시경] 네
日韓 味のトレード パート２	[시경] 한일 맛 교환 프로젝트
はい あの ビジネスと交通と	[시경] 네, 저기
うんうんうん	[마츠시게] 네
文化の なんか⸺	[마츠시게] 네
そうですね	[시경] 맞아요
ガイドブック持って いらっしゃるんですね	[마츠시게] 네, 그야…
一応 こういうものからね 任せてください	- [시경] - [마츠시게] 일단 가져왔죠
お願いしますよ はい あの…	- [마츠시게] - [시경] 네, 저기…
ああ いやいやいや お恥ずかしい	[시경] 아니…
ねえ ですよね？	- 그렇죠? - [시경]
うん	[마츠시게] 네
食べ歩いて 回ってて	[마츠시게] 네
ミッチョッタ(やばい)ミッチョッタ	[마츠시게] 미쳤다, 미쳤다
いやあ でも 韓国は はやりが… うん	- [시경] - [마츠시게] 응
食べるものが いっぱい増えて ああ 選ぶものがね	- [시경] - [마츠시게] 아…
へえ	[마츠시게] 그래?
うさぎ料理じゃ ないよね？	- [시경] 네? - [마츠시게]
いやいやいや うさぎじゃ ないですよ	- [시경] - [마츠시게] 그렇지?
僕は干支(えと)で言うと 卯(うさぎ)年だから はい	- [마츠시게] - [시경] 네
うわあ ここも	[마츠시게] 와
おお	[마츠시게] 오…
ここ いろいろあるね	- [시경] 좋아 보여요 - [마츠시게]
ええ？ 夜中も やってんの？	- [마츠시게] 뭐? - [시경] 24시간…
はあ	[마츠시게] 하…
ああ	- [밝은 음악] - [마츠시게] 아~
何だか…	[시경/한국어] 뭔가 이렇게…
これ 大したことない？	- [시경] 어… - [마츠시게/일본어]
そうそうそう	[마츠시게] 맞아
“サムギョプサル” “サムギョプサル” うん “サムギョプサル”	[마츠시게] 그래, 오…
ああ	[마츠시게] 아…
今日は テジカルビにしましょう	[마츠시게] 응 [마츠시게] 오늘은…
伝統 歴史もあるし	- [시경] - [마츠시게] 응
はい いつぐらいから？	- [마츠시게] - [시경] 네
うわあ あれ？ 何？ もう…	[시경] 추워라
向こうで 用意しているんです	- [시경] - [마츠시게의 탄성]
ここで たいてんだ	- [마츠시게] - [시경] 냄새 좋네요
はあ いわゆるね もう⸺	[마츠시게] 아…
うまそうだな これ	- [마츠시게/일본어] - [시경/한국어] 아이, 감사합니다
取材の許可を ありがとうございます	- [마츠시게/일본어] - [시경/한국어] 아이, 감사합니다 촬영 허락해 주셔 가지고
あっ…	앗
ご注文は お決まりですか？	[사장님] 여기
テジカルビを２人前	[시경] 네, 저희
テジカルビ２人前です 野菜も２つ	[점원] 네
あの… テジカルビは やっぱり	[시경/일본어] 그게…
テジカルビの においっていう お店が	[마츠시게] 그래
やっぱり日本でも 焼肉屋でもさ やっぱり こう⸺	- [시경] 좋아요 - [마츠시게]
染み出てくるような そういう店のほうが	그렇죠?
ここ メニューが あの… どこだ？	- [마츠시게] 응 - [시경] 어디 있지?
あれしかないんですよ あれ	- [마츠시게] 저기 - 저거뿐이에요
“テジカルビ” うん “３００グラム”で…	- [시경] 돼지갈비 300g이… - [마츠시게] 응
３００グラムで １万９０００ウォン	- [마츠시게] 300g에 19,000원 - [시경] 맞아요
はい	[시경] 네
へえ さらに⸺	- 그래? - [시경]
タダ？	[시경] 네
うん 追加 無料	- [마츠시게] 그래 - [시경]
へえ	뭐?
足りないものは全部 持ってくればいい	- [마츠시게] 어? - [시경]
ええ？ めちゃくちゃ安いじゃん	와
いや 食べたことないですか？	아니
へえ それで あの…	- 그렇구나 - [시경] 그래서…
お店には許可 もらってるんですけど	[마츠시게] 그래
わあ うれしい	와
僕は普通の大人のビール	[마츠시게] 네
ビールを１本 はい	- [시경/한국어] - [점원들] 네
ちょいちょい… ああ ありがとうございます	- [마츠시게/일본어] 드세요 - [시경]
ああ いやあ ほんとに ありがとうございました	[시경] 자
ああ 炭火が登場	- [마츠시게] 와 - [시경] 너무 맛있어요
炭火が登場 おお 来た あったかい	[마츠시게] 왔다
おいしいんで お肉は	[시경] 고기는
熱しておかないと 焼き網が登場 焼き網が登場	[사장님] 그래야 요게 좀 달아야…
焼き網が登場 はい	[시경] 네, 네
まず私が焼けば 肉が焦げないし	[시경] 예
うん	- [시경] 으음 - [사장님] 응
ありがとうございます	- 예, 예 - [사장님] 어
外交の話かと	- 원래… - [시경] 저 지금
違いますよ	아니, 아니
これは あばらの とこですか？ どこの部位？ 通訳	- [마츠시게/일본어] - [시경/한국어] 어디 부위예요?
カルビ 通訳 通訳 通訳 カルビ？ ここ	- [시경/일본어] 갈비요, 네 - [마츠시게] 갈비
カルビ？ ここ	- [마츠시게] - [사장님의 호응]
ああ そういえば日本は 少しずつカットされてる	아…
あんな大きいのは 見たことない うん	[시경] 그렇죠
ちょっと焼いてから カットして また焼く	- [사장님/한국어] 구워서… - [시경/일본어]
肉が焦げないように 炭の上に置きます	- [사장님/한국어] 이거를… - [시경/일본어]
大根がクッションなの？	- [사장님] 이렇게… - [일본어]
はい あの 火を収めるための	- [시경] - [마츠시게] 아
さあ どうぞ	[사장님/한국어] 자, 요거 요기…
オーケー？	- [시경/한국어] 감사합니다 - [사장님] 찍어서
食べてみて	[마츠시게] 오케이?
ああ よかった うん	- [시경] - [마츠시게] 응
大丈夫？ おいしいですか？	- [한국어] - [마츠시게] 음
おいしいね(マシンネ)	[사장님] 그러니까…
マシンネ	[사장님] 맛있어예? 아~
“コマッスムニデ” 方言です	- [일본어] - [사장의 웃음]
コマッスムニデ コマッスムニデ	- [한국어] - [시경, 사장님] 고맙습니데이
お肉をどうぞ	[사장님] 고기 잡숴보시고…
これも	[사장님/한국어] 안 타게, 요렇게
これ 新鮮だし うん	- [시경] - [마츠시게] 응
うん うまい	- [시경] 으음! - [마츠시게]
年季が入ってるもの 長年 商売してきたのよ	- 내가, 응응 - [사람들의 웃음]
バッジが かわいい ラブ ピース	- [시경/일본어] 이게… - [마츠시게]
名札が かわいいって	[시경/한국어] 명찰 너무 귀엽대요, 예쁘대요
これですか？	- [사장님] - [시경] 네
なぜつけてるかと いうとね	- [마츠시게/일본어] 귀여워요 - [사장님/한국어]
これつけずに 歩いてると お客様に あいさつする時 あいさつしに行くと 常連さんに	- [계속되는 시경의 일본어 통역] - [사장님]
ガム売りの おばさんかと	[사장님] 그러면
名札をつけてるの	[시경] 아
それで わざと作って これ 名札の下のバッジは？	- [마츠시게/일본어] 그래? 밑엔… - [한국어] 이거 밑에
名札の下のバッジは？ 下の笑ってるのは？	- 웃는 건 뭐예요? - [마츠시게/일본어] 빨간 거
スマイル スマイル だから つけてるの	[사장님/한국어] 그냥 그냥 달았어요
下の あれは何？ お守り？ この…	- [마츠시게/일본어] - [시경] 그…
赤い袋は？ これは… お守り？	- [시경/한국어] 아 - [사장님] 요거는…
はい	[점원] 예
押すとチャイムが鳴る	- [사람들의 웃음] - 요렇게 누르면 벨이 들어가서…
チャイムよ	- 벨이… - [사람들의 웃음]
若い頃は速く 移動できたんだけど 通訳	- 빨리빨리… - [일본어]
今は遅くなっちゃって	[한국어] 빨리빨리 못 다니니까
なんか必要なものが あったらとか	- [마츠시게] 응 - [시경]
ご飯１つ はい	- [사장님/한국어] 밥 하나 주세요 - [점원] 네
どうも	- [시경] - [점원] 안녕하세요
カムサハムニダ	- [마츠시게] - [점원] 네
熱いんで 気をつけてください	- [시경/일본어] - [점원/한국어] 맛있게 드세요
これを こうして…	- [사장님] 요거를 요래 가지고… - [일본어]
白いご飯と一緒に 食べてみて	- [시경/한국어] 요래 가지고? - [사장님]
“チャプソアバ” “食べてみ”	[시경] '잡숴봐' - [사장님] 잡숴봐, 잡숴봐 - [시경/일본어] 먹어봐요
食べてみて	- [사장님] 잡숴봐, 잡숴봐 - [시경/일본어] 먹어봐요
おいしいですか？ マシンネ マシンネ	- [사장님] - [마츠시게] 맛있네, 맛있네, 음
うん	음!
このテジカルビのよさは	- [시경] - [마츠시게] 응
ああ だから子供には ライス頼んであげて	- 아… - [시경]
大人は こう…	[마츠시게] 그렇네
うまい ほんとにうまい よかった よかった	[시경] 네, 다행이에요
まっちげさん あの… うん？	- 저… - [마츠시게] 응?
“まっちげさん”に なっちゃったんですけど	[마츠시게] 응
勝手に 言っちゃいましたけど ヒョンニム	아, 형님, 형님
で それが⸺	[시경] 그리고
“まっちげ”になると “まっ”は味	[시경] 그리고 [마츠시게] 응
うん	[마츠시게] 응
“ちげ”はチゲ	[마츠시게] 찌개
