미친맛집: 미식가 친구의 맛집 8화 "중독된 사랑" 평양냉면
Subtitle	Human Translation
ミッチョッタ(やばい) ミッチョッタ	[마츠시게] 미쳤다, 미쳤다
ここですね あの… 忠武路(チュンムロ)筆洞(ピルトン) “筆洞麺屋(ピルトンミョノク)”	- [일본어] - [마츠시게] 응
“筆洞麺屋(ピルトンミョノク)” 筆洞という 場所なんですけど	- [시경] 필동이란 곳인데요 - [마츠시게] 응
後ろ Ｎタワーが 見えますよね	[마츠시게] 응
最近じゃないんだ この間 名前変えて	최근은 아니지만
今は“Ｎタワー”	[마츠시게] 응
Ｎタワー？ へえ ソウルタワー	- [시경] - [마츠시게] 그래?
その丸い あれが 回るんですよ	[마츠시게] 응
ああ	[마츠시게] 와…
寂しいこと言わないで 付き合ってあげるよ じゃあ	- [익살스러운 음악] - [마츠시게]
あっ ほんとですか？	- [시경] - 응
お父さん お母さんが デートしてた時	[마츠시게] 응
通ってた お店	[마츠시게] 엇?
子供も みんな好き	[마츠시게] 응
冷たいスープだから “真夏に⸺”	- [시경] - [마츠시게] 응
“ふさわしいんじゃ ない？”っていう…	[마츠시게] 응
なんか かっこいいね ここね はい	- [마츠시게] - [시경] 네
入ってみますか はい どうぞ	- 들어가 볼까? 그래 - 네, 가시죠
アンニョンハセヨ	- [한국어] - [점원] 지금 2층!
アンニョンハセヨ	[시경] 네
ああ	아…
最初 その 豚肉と蒸し餃子(マンドゥ) 最初 その 豚肉と蒸し餃子(マンドゥ) “豚肉 ３万ウォン” “豚肉 ３万ウォン” “豚肉 ３万ウォン” うん 食べて話してから 注文しましょう “皿盛り蒸し餃子 １万５０００ウォン”	- [시경] - [마츠시게] 응, 응
“皿盛り蒸し餃子 １万５０００ウォン” “皿盛り蒸し餃子 １万５０００ウォン” ええ いきましょう	[마츠시게] 그러자
豚肉(チェユク)１つと はい	- [시경/한국어] - [점원] 네
ここは いらないですよね？ 焼酎でいいですよ 焼酎で	- 여긴 필요 없죠? - [마츠시게]
ええ？ はい	- [시경] 그래요? 네 - [마츠시게] 그래, 소주
いらっしゃいませ	- [마츠시게/일본어] 고마워요 - [점원/한국어] 반가워요
アンニョンハセヨ	[시경] 네
どうぞ	[점원] 네
へえ	[일본어] 와
おっ これ何ですか？ これは	- [마츠시게] - [점원/한국어] 면수 드릴게요
よかった 寒いんで飲みましょう	[마츠시게] 우선 마시자
どうも	고마워
ここ 来てて はい	[시경] 네
はい そして⸺	[시경] 그리고
昔は持ち主の おじいさんが	[마츠시게] 응, 응
いつも いつも 一番 奥の席で	- [시경] - [마츠시게] 응
並んでても座って こう 新聞を見てたんですよ	[마츠시게] 계셨어?
へえ	그래?
具なしで 麺大盛り	[마츠시게] 응
ああ	아…
“こんにちは”と同じく	- [시경] - 그래
まあ40年 50年前だったんで	아아, 그래
ああ	아아…
肉 卵なしで 麺だけ大盛りで	[마츠시게] 응
ここがメインで 僕は	[시경] 네
どうしようもなく	[마츠시게] 응
うん	[마츠시게] 응
ここで入門したら	- [시경] - [마츠시게] 응
なんか これが おいしくなるっていう	- [시경] - [마츠시게] 응 [마츠시게] 응
で あの… 平壌冷麺なんだけど	[마츠시게] 응
ほんとに申し訳ないけど 冷麺って	[시경] 네
焼肉屋さんで 最後にシメで	[시경] 마무리
“クッパにする？ 冷麺にする？”っていう	[시경] 네, 네
スープが違うの？	[시경] 오늘…
で あの… 肉のだしと たぶん⸺	[마츠시게] 응
スープを作ると 聞きました	응, 그렇구나
いいお店っていくらでも あるんですけど “いや どうしても ここだな”と思って	[마츠시게] 응
へえ	- [마츠시게] 그래? - [시경] 그게…
初体験が大事 だから まっちげさんを	[마츠시게] 그래
すごいね	[시경] 네
犬みたいに	[마츠시게] 개처럼
そうでしょ	- [제작진들의 웃음] - 그래
どうも	- [시경/한국어] 감사합니다 - [점원] 네
これ何ですか？ これは	- [일본어] - [점원/한국어] 네
これがチェユクです	- [시경/일본어] - 제육
ああ	아아…
ポッサムと 同じ感覚なんですけど ゆでて⸺ それに なんか重いもの のっけて こう… そうすると脂も抜けるし	- [마츠시게] 그래 - [시경]
なんか もっと 弾力ができる？	[마츠시게] 그래
ああ	아…
じゃ これにつけて 食べるんですけど好みで	[마츠시게] 그래
はい	[시경] 네
ヤンニョムが出て くるよね こうやってね	- 이렇게 - [시경]
僕もね あの… 東京で 日本でポッサム	- [마츠시게] - [시경] 네
はい	네
うん だから好きです	[마츠시게] 응
いただきます	[시경] 괜찮네요
うん	[마츠시게] 음
もっと凝縮されるって いうんですよ	[마츠시게] 응
圧力をかして 長い間 置いておくと	[마츠시게] 응
うまみも 味も もっと⸺	[마츠시게] 응
増える？ 上がる？	[마츠시게] 응
えっ？	아…
うん	음
どう？ うん	- [일본어] - [시경] 음
いけてない？ これ	- [마츠시게] - [시경] 네
うんうん	[마츠시게] 응
ふうん	그렇구나
うん	음
あっさりしてるけど	네
だから これじゃ ダブっちゃうから	- [시경] - [마츠시게] 어? 응
うん	[마츠시게] 맞아
で 普通 こうやって うんうんうん	- [시경] - [마츠시게] 응, 응, 응
こう巻いて うん	- [시경] - [마츠시게] 그래
うん	[마츠시게] 음
ああ	카아
マンドゥ	[시경] 만두
うん	- 음 - [시경] 정말 좋아요
うん	[시경] 음
うん うん	- [마츠시게] 음 - [시경] 음
うん	[마츠시게] 그래
