미친맛집: 미식가 친구의 맛집 9화 단맛 충전소 <약수시장> 디저트 투어
Subtitle	Human Translation
ミッチョッタ(やばい) ミッチョッタ “薬水市場”	[마츠시게] 미쳤다, 미쳤다
で ここが 薬水市場っていって	[마츠시게] 응, 응
僕の一番 仲いい友達が ここら辺に住んでて	[마츠시게] 응
うん	응
で ここ なぜ来たかというと	[마츠시게] 응
うん	[마츠시게] 응
ホドゥ… ホドゥクァジャ 第２回 チーズケーキ編より	[마츠시게/한국어] 호두, 호두과자
ふうん	[마츠시게] 오
本当に観光客だ 本当に観光客だ “ホドゥクァジャ”	- [시경/한국어] - [제작진의 웃음]
アンニョンハセヨ	[한국어] 안녕하세요
いらっしゃいませ	[점원들] 어서 오세요
アンニョンハセヨ アンニョンハセヨ あっ…	- [점원] 어, 안녕하세요 - 안녕하세요, 어?
出来たてを 味見しますか？	- [마츠시게의 호응] - [한국어] 네
あっ ホドゥクァジャ 出来たて？	- 어? - [시경] 이게… - [일본어] - [점원/한국어] 네, 네
はい 出来たて サービスで… 熱いです	- [시경/일본어] - [마츠시게의 탄성]
カムサハムニダ	- [마츠시게/한국어] - [시경/일본어]
気をつけてください	[점원/한국어] 뜨거우니까 천천히 드세요
うわあ	와
あったかいね うん 温かいですね ああ おいしいね(マシンネ)	- 음, 오 - [시경/한국어] 따뜻하네요
うん	- [밝은 음악] - 음
ほんとですか？	- [시경] - [마츠시게] 응
これは うん	- [시경] - [마츠시게] 응
写真を撮っても？	[시경/한국어] 사진 찍어도 되나요?
うん	[마츠시게] 음
常温で３日間ほど 冷蔵庫で１週間ほどです	[점원] 실온에서 3일 정도 두시면 맛있고요
冷蔵庫では １週間オッケー	[마츠시게] 네
ありがとうございます	[점원/한국어] 감사합니다
またお越しください	다음에 또 방문해 주세요
お世話さま	- 네 - [마츠시게] 수고하세요
おっ ドーナツ？	[마츠시게] 오
“プンミ粉食(ブンシク)” “プンミ粉食(ブンシク)” 徒歩１分の所にある 別のグルメ店 徒歩１分の所にある 別のグルメ店	- [시경/한국어] '풍미 분식'이야 - [제작진] '풍미'
種類が結構ありまして うん	- [시경] - [마츠시게] 응
“もち米ドーナツ ５個２０００ウォン” “もち米ドーナツ ５個２０００ウォン” はい	[시경] 네
１つ いい？ はい	- [한국어] - [사장님] 아, 네
はい	[시경] 네, 네
あっ 結構 軽いんだね	아!
空ですよ 中は空	- [마츠시게] 귀여워 - [시경]
熟成させてる？	- [시경/한국어] 숙성하는 거죠? - [흥미로운 음악]
ああ うまい	[사장님/한국어] 찹쌀을 불려서 빻아갖고…
うまい プレーン おいしい	- [마츠시게] - [시경] 다행이다
めちゃくちゃ 好きだと思う うん	- [마츠시게] - [시경의 호응]
５個で２００円	[시경] 5개 200엔
はい	- [한국어] - [시경] 네
プレーン 15個 プレーン 15個 ９００円？ 最高 ９００円？ 最高	- [밝은 음악] - [마츠시게] 900엔
写真 撮っていいですか？	[사장님/한국어] 하나면 될까요?
写真を撮っても？ もちろん	- [시경] 사진 찍어도 되나요? - [사장님] 아유, 그럼요
おいしかったです(マシッソッスムニダ)	- [마츠시게] - [시경] 고맙습니다
おお おお	- [사장님] 아, 감사합니다, 오 - [시경] 오
マシッソッスムニダ？ 過去形？	- [마츠시게] 맛있었습니다 - [시경/일본어] 과거형?
過去形の適用完了 過去形の適用完了 すごい 過去形の適用完了 過去形の適用完了 うん	- [마츠시게] 과거형, 응 - [시경] 대단한데요
いやあ もう この短いスパンで	- [시경] 음 - [마츠시게]
楽しいんでしょう？ うん	- [시경] - [마츠시게] 응
他の店に行くんですよ ああ こういう 魚屋さんもあるし	- [밝은 음악] - [시경]
うん	[마츠시게] 응
ここの果物屋も激安い	[마츠시게] 응
おいしいんです ここ	[마츠시게] 오
あっ じゃあ ここです	- [마츠시게] 맛있겠네 - [시경]
パン はい 同じパン屋さん なんですけど	- [마츠시게] - [시경] 네
アンニョンハセヨ	[사장님, 마츠시게] 안녕하세요
いいね 食べましょう	- [마츠시게] - [시경] 네
ありがとう	- [사장님/한국어] 자 - [시경] 고맙습니다
店に よるんですけど ここは 具が日本みたいに	- [일본어] - [마츠시게의 호응]
こう ポテトたっぷり 入ってるあれじゃなく	[마츠시게] 응
うん	[마츠시게] 응
マシッスムニダ	[마츠시게] 맛있습니다
最初 来た時	- [일본어] - [마츠시게] 응, 응
うん	응
うん	[마츠시게] 응
はい	- [시경] 네 - 응
これも１つ	- [시경/한국어] - [산뜻한 음악]
日本にも あります？	[마츠시게] 아
へえ	그래?
うん	[마츠시게] 응
はい	[사장님] 네
カムサハムニダ	[사장님] 네, 감사합니다
あれも これもって…	이야, 아니
こんな息子さんいたら 困りますよね なんで？	- [일본어] - [마츠시게] 왜?
味見していって	[시경/한국어] 응, 안녕하세요 - [사장님] 안녕하세요 - [시경] 네
化粧品の店では？	- [흥미로운 음악] - [시경/한국어]
化粧品 売ってる 場所なんだけど	- [시경/일본어] - [사장님/한국어] 네
焼きたて	[사장님] 감사합니다 맛있게 드세요
写真 撮っていい？	- [사장님들] 네 - [일본어]
はい	[시경/한국어] 네
“化粧品店の副業 面白い！” 白ご飯 食べたくなるでしょう？ “化粧品店の副業 面白い！”	[시경/일본어] 흰 쌀밥이 먹고 싶어지네요
“化粧品店の副業 面白い！” ああ そうね “化粧品店の副業 面白い！”	[마츠시게] 아, 그러게
“化粧品店の副業 面白い！” カムサハムニダ ありがとう	- [마츠시게/한국어] 감사합니다 - [시경] 고맙습니다
もう持って帰ろうか	[마츠시게/일본어] 고맙습니다
カムサハムニダ はい	- [한국어] - [시경] 네
さて ここは どこですか？	- [마츠시게] - [시경] 네
いいでしょう？	- [시경] - 응
順位か はい	- [마츠시게] - [시경] 네
ちょっとさ はい	- [마츠시게] - 네
ちょっと ちぎっていい？	[시경] 으아
うわっ	[마츠시게] 으아
ふうん	음~
はい	[시경] 네
ちょっとだけ ふうん	- [시경] - [마츠시게의 호응]
うん	으음~
うん	음
これは味の想像が つくけども	- [시경] 음 - [마츠시게]
ああ そうなんですか	- [시경] - [마츠시게의 호응]
日本にも あるね うん	- [마츠시게] - [시경] 네
バターだね	아!
おお	오
デザート専門⸺	- [일본어] - [제작진들의 웃음]
これね 思ったより 甘さがないの	- [마츠시게] - [시경] 네
ええ？ びっくりするぐらい 甘くない	- 그래요? - [마츠시게]
うん	음~
クリームの香ばしさだけ うん	[마츠시게] 응, 응
パングァジャ？	- [마츠시게] - [시경] 밤
“パム” “クァジャ”は お菓子 うん	- [시경/일본어] - [마츠시게] 응
ああ	- [시경의 호응] - 응
ああ そうなんですか おいしいです	[마츠시게] 응
これ ５個で ２００円っていうのは	- [마츠시게] - [시경] 네
ああ これね はい	- [마츠시게] - [시경] 네
僕 ここ いきます	[시경] 저도 먹을게요
うん	[마츠시게] 음
移動中 日本のスタッフに	[시경/한국어] 아니, 이거
うん	- [탄성] - [흥미로운 음악]
チャプサルドーナツが １位	- [밝은 음악] - [한국어]
売れますか？ これ	[마츠시게] 장사를…
計算したんだけど	[시경] 네
はい	[시경] 네
理解できるようになった 気がします	[마츠시게] 응?
そう？	[시경] 네
貫く うん	[마츠시게] 밀고 나가는, 응
“これだ！” 動かない	[마츠시게] 응
うん	[마츠시게] 응
迷ってると 周りに 迷惑かけちゃうんだよね	[시경] 네
“もっと いいんじゃ ない？”と言われたら	[마츠시게] 응
自分が決めないと	[마츠시게] 응
うん	[마츠시게] 응
はい	[시경] 네
違うじゃないですか	[시경] 네
変化球で ああやるんだなって いうのが	- [마츠시게] - [시경] 네
２年ぐらい前に ＤＪをやったんですよ	[시경] 네
サマーソニックって	- [시경의 탄성] - [마츠시게]
映像とか あります？ ユーチューブで	- 굉장히… - [시경]
へえ	- [탄성] - [제작진들의 웃음]
うん	응
１万人だよ 俺の その あの… オーディエンス	- 나의 그… - [제작진의 탄성]
ないないない うん	- [시경] 서서… - 응
ＤＪ松重の… はい	[시경] 네
