미친맛집: 미식가 친구의 맛집 10화 바닷가 1열, 해산물 뷔페 수산시장
Subtitle	Human Translation
ミッチョッタ(やばい)ミッチョッタ	[마츠시게] 미쳤다, 미쳤다
“あっ 韓国人 結構 来てるんだ”と	- [일본어] - [마츠시게의 호응]
「隣の国のグルメイト(ミッチン マッチプ)」 今回は私が生まれ育った 北部九州	- [한국어] - [시경/일본어] 네
福岡出身 福岡出身 そして ここは ちょっと 九州とは ちょっと⸺	[시경] 네
ああ ルーツ的なもの そそりますね けど福岡は飛行機でも １時間もかからないし	[마츠시게] 응, 응
上昇したら 上がったら すぐ降りるだけだからね	[시경] 네, 네
50年以上の歴史がある この下関 唐戸市場	[시경] 네
ええ？	[시경] 에?
ちょっと入ってみます？	[마츠시게] 어
“唐戸市場” いい所だ	[시경/한국어] 이야 너무 좋다, 여기
うれしいです	- [시경/일본어] - [마츠시게] 그렇죠?
これで好きなもん 買ってきなさいって	[시경] 네
ああ そういえば 薬水(ヤッス)市場は	[마츠시게] 약수 시장
甘いもんばかり だったんで	- [시경] - 그랬지
あっ ホドゥクァジャだ	- [경쾌한 음악] - [한국어] 어?
ああ おいしいね(マシンネ)	오
タンチャ タンチャ	[시경/일본어] 네, 단짠…
タンチャン タンチャン	[시경/한국어] 단짠단짠
はい フグです	[시경/일본어] 네, 오
ああ これが？ フグ刺しが 当たるわけじゃないんだ	- [시경] - [점원] 네
１個 やっちゃいます？	- [마츠시게] 꽤 당첨되나? - [시경]
大人２人で 何やってるんだ そうそうそう	- [시경] - 맞아, 맞아, 맞아
買えるのは９時半から	- [한국어] - [시경] 아
９時半から 始まりますって	- [시경/일본어] - [마츠시게] 아!
サラダ巻き？ サラダが入った 変わり種の巻きずし	[시경] 샐러드 마키?
何から いく？ まず	- 저는… - [마츠시게]
光りものも好きですし	- [시경] - [점원] 안녕하세요
どうも すしコーナー すしコーナー	[마츠시게] 안녕하세요, 아
すしコーナー あっ ここは⸺	[마츠시게] 안녕하세요, 아 - 여기는… - [시경의 놀란 탄성]
はあ	[시경] 아
ああ いってみます？	[마츠시게] 아
ああ	[시경] 아!
ねえ 僕あの… 今 二日酔いなんで	- 그러게 - [시경]
二日酔い…	숙취…
酒臭いなと 思ってたんだよ なんか	[시경] 죄송합니다
ああ	[마츠시게] 아!
うん	- [마츠시게] - [점원1] 네
フグ汁 買うって	[점원1] 복어…
ハーイ ハーイ ハーイ 俳優やん	- [점원2] 어? 네 - [마츠시게] 네
ありがとう	- [점원2] 감사합니다 - 감사합니다
名前 何ていうの？	- [점원1] 이름이? - [점원2]
松重 松重豊	[마츠시게] 내 이름? - [점원2] 아! - [점원1] 네?
松重豊さん	[마츠시게] 말해봤자…
そうそう そうそう	- [점원들의 호응] - [마츠시게] 맞아, 맞아
結構 人気あった 昔はね	- [마츠시게] - [점원1의 호응]
今でも あるやない ドラマ 出とるもん	- [점원1] 있어 - [마츠시게] 지금은 없어
知らんやったやん だけん	- [익살스러운 음악] - [일본어]
知っとらな いかんとや	- [익살스러운 효과음] - [점원1의 웃음]
ここで待ってて	[점원2] 들어가, 들어가
うん 見ておいで で ここおいでよ	그럴까?
じゃあ 行く行く	- [마츠시게] 자, 그럼… - [시경]
名前 覚えた？ 名前 覚えた？	[점원1] 네
あの… 田舎に行くと “名前 何だっけ”	- 그렇지? - [시경] [마츠시게] 아!
タコのから揚げ ３００円 ああ	- [마츠시게] - [시경의 호응]
ああ これで１周したね	- [마츠시게] - [시경의 호응]
じゃあ すぐ… あっ スタートした	- [딸랑딸랑 - 종] - [시경]
始まった	[시경] 네
早く選びに行かないと	- [시경] - [활기찬 음악]
スタートです どうぞ 開場	시작합니다, 들어오세요
これ もう じゃあ もう買うことになってる	- [마츠시게] - [점원1] 네
すごいですね	[점원2] 여기 있습니다
シギョンちゃん	[마츠시게] 시경짱
うん	[마츠시게] 응
ありがとうございます	[마츠시게] 고마워요
あの どうしても僕⸺ カニクリームコロッケが 食べたいんです	- [시경] - 아
こんにちは	[점원] 안녕하세요
カニクリームコロッケ はい	- [마츠시게] - [점원] 네
はい	[점원] 네
はい	[점원] 네
はい	[점원] 네
すみません	- [점원] 네, 감사합니다 - [시경] 실례합니다
はい いらっしゃいませ	[점원] 어서 오세요
これで	[점원] 이거요
僕 エンガワ	- [시경] - [점원] 네
はい 両方ください すしと から揚げ２種を購入	[점원] 400엔, 네
覚えてないって絶対 ほぼ覚えてないって	- [마츠시게/웃으며] - [시경의 웃음]
タコ うん	- [시경] 응? - 응
うん うん	- [익살스러운 효과음] - [만족한 탄성]
はいはい 名前 ナンバーワンに なってます	- [점원1] 네, 네 - [시경]
そうそう スープスープ まだあるよ	[사장] 네 [마츠시게] 응
１０００円 ちょうだい	[마츠시게] 고마워요
