미친맛집: 미식가 친구의 맛집 13화 곱창계의 에르메스
Subtitle	Human Translation
グルメな友達のグルメ店 「隣の国のグルメイト」	- [경쾌한 음악] - [시경]
ミッチョッタ(やばい) ミッチョッタ ミッチョッタ(やばい) ミッチョッタ “島山(トサン)大路”	[마츠시게] 미쳤다, 미쳤다
牛のコプチャン	[시경] 네
オーケー まっちげは 初めての牛コプチャン	- 그러자 - [시경] 네
はい ええと	[시경] 그러니까…
まずは じゃあ この 一番上の このセット	[시경] 그렇죠
つばが出てくる はしたないな	- [물방울 효과음] - [제작진의 웃음]
ビールです どうも	- [점원] 맥주 먼저 드리겠습니다 - [시경]
はい これね	[마츠시게/일본어] 네, 이거군요
はい ありがとうございます	- [시경] - [마츠시게] 받아요
ありがとうございます	- [마츠시게] - [시경] 네
１個１個 忘れて いくんだよね えっ？	- [흥미로운 효과음] - 뭐?
オッケーです オッケーです	- [일본어] 맞아요, 좋아요 - [마츠시게] 짠
あっ うまい	아!
いただきます	[시경/한국어] 잘 먹겠습니다
うん	[시경] 음
うん	음
うん	음!
香りがいいね	- [마츠시게] - [시경의 호응]
はい これはニラの…	[시경] 네
ニラキムチ？	[시경] 네
うん	[시경] 네
これはニラのサラダ	- [시경] - [마츠시게의 호응]
うん	음
盛り合わせの“中”です	- [한국어] - [시경] 네
ハツ	[시경, 마츠시게] 염통
胃袋 マクチャン ああ	- [시경] 위, 막창 - [마츠시게] 아~
塩だけにつけて 食べてもらいたい	[마츠시게] 소금
うん	음
うん	- [밝은 음악] - [시경, 마츠시게] 음
はい	[시경] 네
レバー レバーペースト うん	- [시경의 격한 호응] - [마츠시게] 응
ふうん うん	- [격한 호응] - [마츠시게] 응
これは面白い食べ物です	- [익살스러운 효과음] - [마츠시게]
うん	[마츠시게] 음
うんうんうん	- [장난스러운 효과음] - [탄성]
何となく なじみがある 感じがするのよ	[시경] 네
マクチャンはね うん	- [시경] 막창이에요 - [마츠시게] 막창이구나, 응
うん	음
で これが 日本のホルモン テッチャン	- [시경] - [마츠시게의 호응]
うーん コプチャン マクチャン テッチャン コプチャン マクチャン テッチャン	- [발랄한 음악] - 음…
ああ マクチャンを選択	- [마츠시게] 막창, 어 - [시경의 호응]
ふうん	- [호응] - [마츠시게] 응
そうですよ うん	- [시경] - [마츠시게의 호응]
悪循環 分かる分かる	악순환
はい	[시경] 네
焼酎を１本	- [마츠시게] 응 - [제작진들의 웃음]
ありがとうございます はい	- [시경] - 네
はい どうも はい	- [마츠시게] 고마워요 - [시경] 네
ああ 合う合う 合う合う	아~
うーん 太れなかったね	음…
生まれつきですか？	[마츠시게] 응
やっぱ もう それは⸺	아~
太る？ ほっといたら	- [흥미로운 효과음] - [마츠시게]
空気で太る？ ああ	- [시경] 네 - 아
ああ	아~
うん	- [호응] - [마츠시게] 응
脂 取られるだけの ためのパン？	[시경] 네, 네
いや おいしいと思うよ この脂 好きな人は	[시경] 이 기름을…
気の毒な(プルサンハン)パン	- [시경/한국어] - [제작진의 웃음]
作るんですよ おいしい	- [마츠시게의 탄성] - 맛있어요
チャーハンです	[점원/한국어] 특양밥 먼저 드리겠습니다
ああ よかった うん	- [시경] - [호응]
うん	음
で 問題は⸺	[마츠시게] 그…
“自分で つぐ 自分のペースで飲む”	[시경] 아
韓国人は いろいろしてあげたい でも日本人には プレッシャーかも	여기는 딱 그걸…
どうぞ どうぞ	- [시경] 아니에요 - [제작진들의 웃음]
“酔っ払っちゃえ”って 飲ますの	- [시경] 아 - [제작진들의 웃음]
韓国は ７割ぐらいが基本かな	아
はい	[시경] 네
７割 ７割 ７割…	[시경] 어, 어
“おい 何？ おっとっとっとっ…”	[시경] 어, 어 더, 더, 더, 더, 네
鍋も お願いします	- [한국어] - [딸랑 - 효과음]
まだメニューに ないんですけど うん	- [시경/일본어] - [마츠시게의 호응]
はい	- [시경] 네 - [제작진의 옅은 탄성]
来た 来た	- [마츠시게, 시경] - [경쾌한 음악]
ねえ はい	- [마츠시게/일본어] 됐나? - [시경] 네, 네
すいません はい	- [마츠시게] 고마워 - [시경] 네
うん	음
さっき入ってた中身って どっか逃げたの？	[시경] 네
逃げてるんだ	[시경] 네
うん	[마츠시게] 응
うん	[마츠시게] 응
ふうん	- [시경의 호응] - 응
中身が出てるから うん	- [마츠시게] - [시경의 호응]
やばい	- [마츠시게] 음 - [시경]
マッコリ(？)スープを 追加 オッケーです マッコリ(？)スープを 追加	[시경] 됐습니다
うん	음
どうも	- [점원] 여기 있습니다 - [시경] 네
ライス？	[시경/일본어] 조금…
うん	[마츠시게, 시경] 음
うん	[시경] 음~
ああ そう？ うん	- 그래? 응 - [시경] 네
飲み会とか お好きですか？	[시경] 네
はい そういう時は もう 最初から最後まで⸺	네
さみ… 寂しい	- [장난스러운 효과음] - [제작진들의 웃음]
チャン あ… チャン	- [마츠시게/한국어] - [시경] 짠, 짠
あっ ああ分かった うん うんうん	- [흥미로운 음악] - 맞아, 그래
チャン チャン	- [마츠시게, 시경/한국어] - [제작진들의 웃음]
フーフーフー	[마츠시게/일본어] 좀 맵네, 목말라
もうさあ ７分目が…	[마츠시게] 이제 그냥…
だんだん増えてる 面倒くさいから	[한국어] 이제, 이제 점점 올라가고 있어 [일본어] 귀찮으셔서
韓国の味 ＶＳ 日本の味	- [제작진] 오~ - [제작진들의 웃음]
思い知らせなきゃ	[시경/한국어] 본때를 보여줘야지
