미친맛집: 미식가 친구의 맛집 1화 마츠시게의 13년 단골 미친맛집
Subtitle	Human Translation
グルメな⸺ 友達の⸺ グルメ店	- [시경] - [마츠시게/일본어]
いらっしゃいませ	- [시경/일본어] 안녕하세요 - [직원] 어서 오세요
ウィンナコーヒーを ホットで	[직원] 네
ウィンナコーヒーを ホット おひとつで かしこまりました	따뜻한 비엔나커피요
少々お待ちください	- [시경] 부탁드립니다 - [직원]
こんにちは こんにちは ご無沙汰しております	- [마츠시게/한국어] - [시경]
久しぶり	- [시경/일본어] - [마츠시게] 오랜만이에요
どうもどうも お待たせしました 松重豊	반갑네요, 기다리셨죠?
ありがとう	[한국어] 감사합니다
1617かな	[마츠시게] 꽤 전이네요
楽しかったですよね 「孤独のグルメ」韓国編 シギョンが特別出演 「孤独のグルメ」韓国編 シギョンが特別出演 「孤独のグルメ」韓国編 シギョンが特別出演 楽しかったですね	- [시경] 즐거웠어요 - [마츠시게] 즐거웠죠
「孤独のグルメ」という 番組が… 番組のファンだと告白	'고독한 미식가'라는 프로그램이…
「孤独のグルメ」の… 「孤独のグルメ」の…	'고독한 미식가' 아저씨도
「孤独のグルメ」の おじさん 四六時中 ファンだと 言い続ける 四六時中 ファンだと 言い続ける 四六時中 ファンだと 言い続ける 「孤独のグルメ」で…	'고독한 미식가' 아저씨네 '고독한 미식가'에서…
四六時中 ファンだと 言い続ける 「孤独のグルメ」で 五郎さんが…	'고독한 미식가'에서 고로 아저씨가…
僕の番組に ぜひ出てほしい 公開プロポーズ	'고독한 미식가' 아저씨 '먹을 텐데' 한번 나와 주면 진짜 좋을 텐데
食べて語り合えば⸺ こうして２人のグルメは 友達になった	막 음식 얘기도 하고 인생 얘기도 하고
こうして２人のグルメは 友達になった 面白そうでしょ	너무 재밌을 거 같지 않으세요?
“グルメイト” それは松重さんが？	- [시경] '미식가 친구'요 - [호응]
それを調理法が違って 食べてるじゃない	[시경] 그렇죠
食べ比べてみたいって なるじゃないですか	- [마츠시게] - [시경] 그렇죠
２人のグルメが出会い どうも ２人のグルメが出会い ２人のグルメが出会い どうも	- [마츠시게] 안녕하세요 - [시경] 안녕하세요
乾杯	[함께/한국어] 짠
乾杯 グルメイトとなり	[마츠시게] 짠
グルメイトとなり	[마츠시게] 짠 [마츠시게/일본어] '미쳤다'도 쓸 수 있어요
お互いの国の グルメ店を紹介 うまいな お互いの国の グルメ店を紹介 お互いの国の グルメ店を紹介 これが最高	[시경/한국어] 야, 맛있다 이게 제일 맛있어
この焼き鳥 本当にうまいな	[마츠시게/일본어] 이 닭꼬치 진짜 맛있네
全部うまそうだ	[시경/한국어] 이야 다 맛있어 보이는데, '우마이'
本当にうまい 本当にうまい 日韓で味のトレード	이야, 이거 진짜 맛있다
おいしい店だ まずは東京から 味見します	[시경] 이야, 여기 너무 맛있다
まずは東京から 味見します まずは東京から 味見します ミッチョッタ これミッチョッタ	[마츠시게] 미쳤다, 고레 미쳤다
中国系だったり	- [시경의 호응] - [마츠시게]
13年前	- [마츠시게] - [흥미로운 음악]
あげたのに	- [사장] - [마츠시게] 정말?
ということで“楊”です	[시경] 네
辛いものってどのぐらい いけるんですか？	[시경] 네
ここはね 麻辣(マーラー)なんですよ 好きですよ	- [불타오르는 효과음] - [시경] 좋아해요
舌がヒリヒリする辛み 舌がヒリヒリする辛み “麻” 舌がヒリヒリする辛み 舌がヒリヒリする辛み “麻” 舌がヒリヒリする辛み	- 마 - [시경] 마
本当に くせになっちゃったんで	[시경] 좋아하세요?
ママ はい	- [마츠시게] - [사장] 네
楊ママです よろしくお願いします オーナー 楊ママ	[양 마마] 양 마마입니다 잘 부탁드립니다
拌三絲(バンサンスー)	- [마츠시게] - [양 마마의 호응]
ママ どれがいいかな “焼き”と“揚げ”と	[양 마마] 저기…
えっ？ 裏メニュー？	[마츠시게] 응? 우라메뉴?
やります	- [밝은 음악] - [시경의 웃음]
“松重さん”と言うのは	[시경] 마츠시게 상
かんだなと 僕が思うくらいで	[시경] 네, 마츠시게 상
“まっちげ” 楽なんですよ	[시경] 맛찌개 상?
まっちげさん まっちげさん 言いやすいでしょ？	[시경] 맛찌개 상
まっちげさんにします	[마츠시게] 맛찌개 상이라고 불러 주세요
僕は… シギョンちゃん	- [시경] - [마츠시게]
シギョンちゃん はい	시경 짱, 네
はい	- [시경] 네 - [놀란 탄성]
ですよね	[시경] 그렇죠
あの… 調味料 入れすぎ	[마츠시게] 힘들구나
じゃあ 行きましょう	- [깨달은 탄성] - [시경]
拌三絲 拌三絲 ８００円 豆腐皮の冷菜 拌三絲 ８００円 豆腐皮の冷菜 拌三絲 ８００円 豆腐皮の冷菜 拌三絲	- [양 마마] 반산스예요 - [시경, 마츠시게] 반산스
日本で？	- [시경, 마츠시게] 일본에서요? - [양 마마] 일본에서요
日本で 汁なしのね	- [시경, 마츠시게] 일본에서요? - [양 마마] 일본에서요 국물 없는 거는요
あれかな？	[시경] 그런 건가?
ちゃんと 取り分けてくれてるから	[마츠시게] 접시에도 담아주십니다
これ 使ってください	[시경] 이거 쓰세요
食べたことないから	[시경] 궁금해요
はい いただきます	[시경] 잘 먹겠습니다
おいしい	[양 마마] 맛있어요?
うん 山椒	[양 마마] 응, 산초
のどにね カーッと 山椒で のどがカッカする	목에 화악 하고…
久々に これはうまい	[한국어] 이야, 맛있다, 오랜만에
辛い味の本場 四川 辛い味の本場 四川 〈四川(スーチョワン)〉	- [시경] 쓰촨? - 네, 쓰촨요
天秤(てんびん)棒で担いで 売り歩いた担々麺	- [찰칵 효과음] - [고풍스러운 음악]
うまい	- [시경] 맛있네요 - [호응]
そうですね	[시경] 그렇죠
口の中が… 拌三絲	[마츠시게] 입가심이 되죠
大丈夫？ 何か飲む？ 飲み物？	- [양 마마] - [마츠시게] 마실 거?
生ビール もらってもいいですか？	[양 마마] 생맥주요?
僕はね 生ビール 飲まないから	[양 마마] 똑같은 거로?
じゃあ ノンアルコールビール ノンアルで はい	- [마츠시게] - [양 마마] 무알코올, 알겠어요
今は いろんなものが なくなっちゃうから	[시경] 그렇죠
あの時ね マッコリがおいしかった	[시경] 막걸리
飲み過ぎて	- 그랬죠 - [제작진의 웃음]
組み合わせが…	[마츠시게] 조합이 좋지
こっちがノンアルコール	- [시경] 틀리면… - [양 마마] - [마츠시게, 시경] - [양 마마의 호응]
どうも よろしくお願いします	- [마츠시게] 감사합니다 - [시경]
やけどする	- [마츠시게] - [제작진의 웃음]
〈おいしい〉	- [시경] 하오츠 - [양 마마] 하오츠?
〈おいしい〉 〈ありがとう〉	- [마츠시게] 하오츠 - [양 마마] 셰셰
ママ 具は何ですか？	[양 마마] 네
ニラと豚肉？ だけ？	[마츠시게] 부추랑 돼지고기?
皮の味が変わるんだよね	[양 마마] 네, 달라져요
向こうに飛んだから	[양 마마] 앞치마 줄까요?
向こうに？	[웃으며] 저쪽으로?
焦げた感じの においとかが	- [마츠시게] - [시경의 호응]
作って 当日は そうでもない	[양 마마] 당일에서 - 2, 3일 지나면 - [시경] 며칠 지나면?
ちょっと何日か ２～３日たったら…	- 2, 3일 지나면 - [시경] 며칠 지나면?
味が変わる？ 味が出る	- [양 마마] 제맛이 나요 - [시경] 제맛이 나요?
いいおかずになる	[양 마마] 맞아요
春雨と発酵した白菜 結構 辛い味付けにも なってるんだね	- [시경] 배추? - [양 마마]
あったまりそう	[시경] 궁금하네요
初めての味だ 韓国のグルメも初めて	하여튼 처음인 맛인 거야
韓国のグルメも初めて いただきます	[일본어] 잘 먹겠습니다
該当する韓国語は “ミッチョッタ” ミッチョッタ 該当する韓国語は “ミッチョッタ” 該当する韓国語は “ミッチョッタ” ミッチョッタ？	- [제작진/한국어] '미쳤다' - [시경] '미쳤다'?
ミッチョッタ これミッチョッタ	미쳤다, 고레 미쳤다
ミッチョッタ	- [양 마마] 미쳤다 - [마츠시게] 미쳤다
ミッチョッタ 覚えてよ みんな	[양 마마] '미쳤다'
なんかやばい雰囲気に なってきたよ	- [마츠시게] - [제작진의 웃음]
はい	- [양 마마의 웃음] - [시경] 감사합니다
調子がよくなる	- [양 마마] - [제작진의 웃음]
赤ちゃんみたいな？	- 아기 같아져요? - [시경의 호응]
賄いなんだ	[시경] 직원식이군요
予約をしたほうがいい	예약을 하는 편이 좋습니다
ミッチョッタですよ これ	이건 '미쳤다'예요
