미친맛집: 미식가 친구의 맛집 3화 눈물 나는 맛, 레전드 야키니쿠
Subtitle	Human Translation
ミッチョッタ(やばい) ミッチョッタ	[마츠시게] 미쳤다, 미쳤다
どうも 店の一部を 貸し切って撮影 店の一部を 貸し切って撮影 店の一部を 貸し切って撮影 ああ どうも 店の一部を 貸し切って撮影 店の一部を 貸し切って撮影 お久しぶりです	[점원] 어서 오세요
お邪魔します	[시경] 실례합니다
今回のグルメ店は… 今回のグルメ店は… お久しぶりです よろしくお願いします	- [점원] 어서 오세요 - [마츠시게] 잘 부탁합니다
お久しぶりです よろしくお願いします	- [시경/한국어] 안녕하세요 - [점원/일본어] 어서 오세요
こういう雰囲気込みで	[시경] 그렇죠
これも小さいし うん	[시경] 그렇군요
どうも	[시경] 안녕하세요
僕 久しぶりなんで 前 頼んだやつ食べたい	[점원] 그렇죠
シビレ？	- [흥미로운 음악] - [마츠시게] 시비레
ジンギスカン ジンギスカン 好き	[마츠시게] 징기스칸
カルビとコプチャンを 召し上がりました	[점원] 갈비랑 곱창 드셨어요
とりあえずそれと 極上霜降りロース？	[점원] 네 [마츠시게] 최상급 시모후리 로스
はい	네
大丈夫です 韓国人です	- [마츠시게] - [점원] 네
はい	네
入れてください はい両方 はい	- [점원] 넣어도 될까요? - [시경]
キャベツと…	[점원] 양배추요
ですよね もう本当に… ですよね もう本当に… おじぎ おじぎ	[점원/웃으며] 네
おじぎ しょうがなく やってます	할 수 없죠
はい 生ビール 生ビール	- [마츠시게] 생맥주 - 네
チャレンジしましょう じゃあ 大ジョッキと	[마츠시게] 메가 사이즈랑
はい お願いします	[점원] 네
ポッサムか 焼肉は 生を焼くんですよ	[마츠시게] 보쌈이구나
脂肪 肉 脂肪みたいな	지방, 살코기, 지방이죠
それが三枚肉	[시경] 층이 있어요
感覚だよね？ 韓国人の魂ですよ それは	그렇죠?
生大とノンアルですね どうぞ	[시경] 네
日本人は苦手な発音だ	- [한국어] - [사람들의 탄성]
チャン	[함께/한국어] 짠
チャン	짠
当店 一番人気の シビレになります	- [밝은 음악] - [점원]
シビレ シビレ ８９０円 シビレ ８９０円	- [마츠시게] 시비레 - [점원] 네
これが ジンギスカンなんだ 一応 看板メニューです	[시경] 이게 징기스칸이군요
ありがとうございます たれは甘み 塩気 辛みが調和	- [마츠시게] 감사합니다 - [시경] 잘 먹겠습니다
巻いて食べるでしょ？	[마츠시게] 아, 네
この格言の出どころは… ああ 待って	[한국어] 아, 잠깐만
この店	- 이 가게는 - [산뜻한 음악]
もらう？ うん	- [마츠시게] 밥 시킬까? - 네
はい えっとライスは⸺	[점원] 네
僕も半ライスで	[점원] 반 공기요
ありがとうございます	[점원] 감사합니다
はい	네
はい	네
いやいや 肉 見てるよ	[시경] 고기만 봐
よく焼きが完成 よく焼きが完成 胸腺に挑戦します	[한국어] 자, 흉선 도전해 보겠습니다
好きかも？ ああ よかった	- 좋아해? - [사람들의 호응]
シビレ？ シビレ	- 시비레? - [마츠시게의 호응]
失礼いたします	- [일본어] - [놀란 탄성]
こちら 中盛りですね	[마츠시게] 감사합니다
焼肉と一緒に お召し上がりください キャベツ（中） ４９０円	- 고기와 같이 드세요 - [시경] 네
では網替えしますね	[마츠시게] 네
そうですね 日本は…	[시경] 그렇죠?
日本はね	[점원] 먼저 사과하죠
熱いので お気をつけください これ 韓国じゃん	- [점원] 뜨거우니 조심하세요 - [마츠시게] 감사합니다
不思議だ 初めてだ	[시경/한국어] 아, 신기하다 일본 와서 이거 처음 봐
誠心誠意 案内したいのに… 誠心誠意 案内したいのに… うまい	- [한국어] 아, 구이를… - [일본어]
誠心誠意 案内したいのに…	- [띠용 효과음] - [사람들의 웃음]
“時間との闘い”だと	[한국어] 아, 시간과의 싸움이래요
バウンド	[시경] 바운드
たれね ここ結構 やっぱりたれが	[마츠시게] 타레
肉の うまみもね こっちに入ってるからね	[시경] 맞아요
ああ お疲れさまです	[점원] 네
炭酸水ってあります？	[점원] 네
寂しいですよね	쓸쓸하죠
失礼いたします	[점원] 실례합니다
ありがとうございます はい	[점원] 실례하겠습니다
１枚で４０００ウォンだ	[시경] 한 장에 4천 원이야
極上 ぜいたくだよね	[시경] 네
いいですよ ちらり	[시경] 해도 돼요
ああ いった	- [시경의 탄성] - [마츠시게]
口にいる時間が 一瞬だった	- [시경] 찰나였죠 - 찰나였어
