미친맛집: 미식가 친구의 맛집 4화 최고의 술안주, 오마카세 야키토리
Subtitle	Human Translation
ミッチョッタ(やばい) ミッチョッタ	[마츠시게] 미쳤다, 미쳤다
よろしいですか？ はい こちらで はい どうぞ	괜찮을까요?
えっ 焼き鳥って そういうイメージなんだ	[마츠시게] 네
焼き鳥は なんか お酒の… 酒	- 야키토리는 술과… - 그렇죠
そっか	[시경] 그렇구나
お出しさせていただいて よろしいですか？	- [시경] 네 - [마츠시게] 그래요?
ビールまず飲んで	[시경] 네
頼んでましたかね	- [마츠시게] 주문했네요 - [마스터] 실례합니다
これ 僕は ワインはいらないですよ	[마스터] 필요 없으세요?
３時間ぐらいしか ないのに	[시경] 시간이 남는구나
ビール 飲みたいじゃないですか	[시경] 네
はい	네
続いて黒龍ですね	[마스터] 다음은 코쿠류입니다
おいしいのよ	[시경] 네
黒龍 なめてもいい？	[마스터] 코쿠류요?
もちろんですよ	[시경] 그럼요
はい	[시경] 네
黄色いものから かぼちゃ豆腐	[마스터] 단호박 두부
蒸し鶏と九条ネギの 酢味噌(みそ)あえ	초된장으로 무친 찜닭과 파
おあとがですね 里芋の 煮物になっております	그리고 토란 조림입니다
はい ありがとうございます	[마츠시게] 네, 감사합니다
そうでしょう？	[마츠시게] 네
ガーリックバターか	- [시경] - [마츠시게] 이건…
ああ ガーリックパンの…	[마츠시게] 일본식 요리의…
うわあ	우와!
何これ？	[마츠시게] 이게 뭐지?
その分 肉のうまみが 凝縮してくるので	[시경] 그렇죠?
なんかビチョビチョって 感じがするんだけど	[시경] 그렇죠
両親を 連れてきたくなる味 お母さんと お父さん	어머니, 아버지랑…
あの…	네, 그…
うん 親孝行したじゃない	[시경] 네
ほんと…	[마츠시게] 정말…
ちょっと	[마츠시게] 그리고…
あっ これ もう１杯？	[시경] 네
いや…	[시경] 아니…
お酒を飲むべき店です	[한국어] 진짜 이건 같이 드셔야 되는 집인 거 같아요
飲みながら食べると よりおいしい	말씀하신 대로
これね リセットされるの完全に	[시경] 그렇죠?
おいしい	[시경] 맛있어요
これが“ちょうちん”で ３本目 ちょうちん	[마스터] 쵸우친입니다
卵黄を卵管から外す でも これ… でも これ…	[시경/한국어] 근데 얘…
うん	[마츠시게] 그래
はい	[시경] 네
うん…	[마츠시게] 음…
はい	[시경] 네
すごい 仲よくなった気がします	[마츠시게] 맞아
串 持って食べるの うん	[시경] 맞아요
ちょっと手が 触れ合ったりするの	[시경] 맞아요
だから そのペースを 分かって こう…	[시경] 그렇죠
はい	[시경] 네
おいしい	- [마츠시게] 이게 야키토리지 - [시경/한국어] 맛있다
どれぐらい出る？ うん	[시경] 양이 얼마나 나오지?
こちらが “ひざがしら”で こちらが “ひざがしら”で ひざ軟骨の周辺の肉 ひざ軟骨の周辺の肉 ひざ軟骨の周辺の肉 ひざ周りの お肉に なっております	[마스터] 이건 무릎골로 무릎 주변의 고기입니다
うん	[마스터] 닭고기 맛이 굉장히 좋아서…
生醤油ですね	[마스터] 그렇습니다
韓国は醤油は？	[마스터] 반나절쯤 절여두면 좋아요
九州の甘いやつだよ	[마츠시게] 규슈의 단…
醤油変えてほしいなって いつも思う	[시경] 그 간장이 없으면…
あの… フライドチキン	[마츠시게] 프라이드치킨?
チキンと “メクチュ” ビール	치킨과 맥주
10羽から１串 取れるか取れないかの 10羽で １串分ほどの量	[마스터] 열 마리에서 한 입 얻을 수 있을까 말까 한
10羽で １串分ほどの量 10羽で １串分ほどの量 非常に希少な部位に なっております 非常に希少な部位に なっております 非常に希少な部位に なっております 希少性の高い 胸腺部分 希少性の高い 胸腺部分	매우 희귀한 부위입니다
希少性の高い 胸腺部分 ありがとうございます	[마츠시게] 감사합니다
うん	[마츠시게] 네
こっちは ちょっと 大人の魅力です	- [고풍스러운 효과음] - [마츠시게]
結構 苦みもあって	[마츠시게] 맞아
これは 酒飲みは大好きな味	[시경/한국어] 음, 이거는
ここは本当にうまい	[시경/한국어] 이야
うん	[마츠시게] 네
シギョンは実地調査中 うわあ	- [밝은 음악] - [시경의 탄성]
シギョンは実地調査中 これだ この店	[시경/한국어] 이거야, 이 집이다
シギョンは実地調査中 こんな店は珍しい	이런 맛집이 거의 없으니까
ここまででしょ？	[시경] 여기까지 오가시잖아요
高いです ねえ	- [시경] 높아요 - 그렇지?
